"nr";"votes";"td";"nl";"pis";"konf";"ko"
1;501870;53958;47715;174643;31770;169540
2;323360;39215;25806;107797;19478;120188
3;776054;106624;88089;206899;54132;286713
4;533919;80426;52959;162603;34266;186914
5;537597;84308;60473;183131;34232;158719
6;648347;102894;37083;294847;54325;131712
7;456872;59577;25691;231882;35594;79501
8;517041;77933;47911;143530;33672;195091
9;456552;54283;55770;122433;25428;187527
10;396819;54479;25340;184929;30247;86083
11;533128;77313;41188;221031;36383;138038
12;364671;54585;22036;156308;28754;88408
13;757522;127693;83633;232430;58435;232799
14;427292;49487;13594;229587;37301;68804
15;403591;75229;16152;196433;32241;68690
16;442567;75526;28848;195218;28877;99146
17;391202;54690;20874;190418;28593;82003
18;539408;83681;26149;262236;44299;100902
19;1714719;227127;230648;345380;124220;741286
20;730744;110086;51556;231905;51573;257470
21;479968;61155;34763;150022;31150;161241
22;441996;60938;19750;241790;38080;70054
23;673776;83676;32828;347688;63854;119259
24;609244;114898;29478;258277;59648;126971
25;616287;90599;57967;155318;38406;257009
26;682899;92793;56887;199709;49203;258909
27;445346;64778;34601;163506;34909;127677
28;323941;47698;30497;117756;21256;94313
29;387408;51681;35673;116827;26934;139711
30;381598;47525;26117;145230;30527;114404
31;526167;69825;44509;162458;35240;193596
32;377959;37221;81646;112389;21512;114519
33;659132;90975;45048;310266;43197;137941
34;299380;46101;24269;105373;19590;95410
35;391058;63007;31631;126432;27119;129339
36;542267;87628;46222;194416;37838;154990
37;419243;69740;39761;162192;29208;100580
38;413235;72996;32378;120301;28370;144114
39;596038;98589;73345;116666;35182;262779
40;322149;39776;28101;101023;19379;124625
41;554308;69957;52032;159575;32942;222427
